,y,x,street_count,highway,ref
122752289,-37.8144165,144.9406565,3,,
122752291,-37.8147109,144.9400809,3,,
122752442,-37.8138849,144.9403317,3,,
122752579,-37.8141189,144.9397074,5,,
122752679,-37.8140216,144.9396254,4,,
122752887,-37.8151374,144.9403387,1,,
122754189,-37.8138462,144.9432458,1,,
127598515,-37.8061722,144.9447485,4,,
127601472,-37.8057394,144.9439816,3,,
127638234,-37.8085026,144.9455347,3,,
127638260,-37.8090742,144.9462299,4,,
127639607,-37.8110624,144.9455842,3,,
127641620,-37.8105378,144.9451673,3,,
127642432,-37.8101033,144.9448191,3,,
127643363,-37.8095653,144.9443925,3,,
127649149,-37.8066212,144.9427955,3,,
127650543,-37.8058768,144.9483539,3,,
127650566,-37.8055786,144.94506,3,,
127652487,-37.8066009,144.9475857,3,,
130015095,-37.8161056,144.9682411,3,,
130015096,-37.815502,144.9679776,1,,
131102989,-37.814539,144.9582787,3,,
131124746,-37.8142812,144.9591762,3,,
131221744,-37.8126526,144.9607696,4,,
131238672,-37.8133684,144.9623482,3,,
131238689,-37.8140301,144.9626401,1,,
137172723,-37.8050755,144.957258,3,,
144699879,-37.8191814,144.9578346,3,,
145190645,-37.8178755,144.9563202,4,,
145196475,-37.8179152,144.9542557,3,,
145210375,-37.8169978,144.9574762,3,,
145245869,-37.8162099,144.9602207,3,,
145245956,-37.8166777,144.9604426,1,,
145261423,-37.8157191,144.9619323,3,,
164102232,-37.8203145,144.9675145,2,,
164102362,-37.8204388,144.9651785,1,,
168377580,-37.8117272,144.9603584,3,,
170219377,-37.8084472,144.9762051,3,,
170219384,-37.8086826,144.9784657,4,,
170219402,-37.8085049,144.9767854,3,,
174792823,-37.8147462,144.9652597,3,,
174792857,-37.8142182,144.9650124,1,,
174812829,-37.8148358,144.964994,3,,
174812848,-37.8153015,144.9652044,1,,
176721271,-37.8141991,144.9671106,3,,
176721287,-37.8132189,144.9666697,2,turning_circle,
176722502,-37.8140818,144.9675156,3,,
196906311,-37.823816,144.9627077,4,,
196906529,-37.8238958,144.9626202,4,,
197019550,-37.8232457,144.9703234,5,,
224750210,-37.805867,144.9783553,3,,
224750232,-37.8082315,144.9779698,3,,
227508487,-37.8086794,144.9588421,4,,
227508496,-37.8096902,144.9593091,3,,
233275077,-37.8056308,144.9761302,4,,
233314824,-37.8054593,144.974453,3,,
233314890,-37.805006,144.9762359,3,,
233315285,-37.8067779,144.9734819,4,,
233555460,-37.8075333,144.9791885,4,,
243096971,-37.8234214,144.9699519,4,,
243097131,-37.8226272,144.9642044,4,,
243097133,-37.8229809,144.9650107,3,,
243097143,-37.8232964,144.969899,4,,
243097376,-37.8225858,144.9639251,4,,
243097380,-37.8225318,144.9640315,4,,
243434000,-37.823422,144.9763915,3,,
243963290,-37.8197294,144.9696569,1,,
243963300,-37.8221709,144.9749427,3,,
244244659,-37.8079114,144.968679,3,,
244255898,-37.8169586,144.9779917,3,,
244255899,-37.8163298,144.9781126,3,,
245532558,-37.8119402,144.9672697,3,,
245533066,-37.8120564,144.9668682,3,,
245537592,-37.8112436,144.9656244,3,,
247277203,-37.8050145,144.9567727,3,,
247417082,-37.8176604,144.9703961,3,,
247531432,-37.8135588,144.9471322,3,traffic_signals,4527
247531546,-37.8136747,144.9469852,3,traffic_signals,4527
247533244,-37.816609,144.9494845,3,,
247533245,-37.816592,144.9497232,3,,
248838949,-37.8059448,144.9748607,3,,
252588303,-37.8159148,144.9724367,4,,
252588540,-37.8209726,144.9762569,3,,
259159793,-37.8216615,144.9630736,4,,
259159800,-37.822102,144.9635393,3,,
259160028,-37.8212595,144.9625332,3,,
259160067,-37.8212215,144.9624913,1,,
259616706,-37.8143577,144.9548499,4,,
259616740,-37.8080945,144.9516571,4,,
259616744,-37.8086454,144.9521134,3,,
259617268,-37.8054701,144.9487942,4,,
265516842,-37.8216542,144.9738016,3,,
266733258,-37.8098682,144.9782541,4,,
266733534,-37.8096877,144.9765601,3,,
266734181,-37.8060727,144.9760543,4,,
266739054,-37.8185363,144.9757745,3,,
267317332,-37.8235652,144.9712948,3,,
267317336,-37.8229357,144.9713389,3,,
267319278,-37.8230962,144.9708347,3,,
268533545,-37.8126263,144.9777857,3,,
268533546,-37.8132645,144.9753728,1,,
268533991,-37.8118557,144.9753872,3,,
